Lon,Lat,RhoLM_in_situ,RhoLM_STP
106.5,30,3.2566770914177,3.3946780886949
106.75,30,3.2592352465918,3.3950472739582
107,30,3.268110280673,3.4019747708681
107.25,30,3.2883317879655,3.4207332838854
107.5,30,3.3043028458146,3.4349591847181
107.75,30,3.3137359597061,3.4432074458026
108,30,3.2951434154985,3.4227566265001
108.25,30,3.2956216987411,3.422554379903
108.5,30,3.2994191081723,3.4250219621949
108.75,30,3.2873441036786,3.4110462568764
109,30,3.315613370941,3.442035638386
114,30,3.2427051951186,3.3450813526949
114.25,30,3.2438499548013,3.346221505358
114.5,30,3.2436457315569,3.3461378308831
114.75,30,3.2396913127216,3.3420290916105
115,30,3.2387165034317,3.3415339604673
115.25,30,3.238859200768,3.3423094871572
115.5,30,3.2445647848823,3.3489083386521
115.75,30,3.2518043413534,3.3570532955346
116,30,3.2574371919169,3.3632137864773
116.25,30,3.2601589882465,3.3666575511172
116.5,30,3.2674497049267,3.3748081620219
116.75,30,3.2627489088308,3.3707448468084
117,30,3.2579351725565,3.3662280737636
117.25,30,3.2508560932562,3.3601630709621
117.5,30,3.2478193598774,3.3581853704176
117.75,30,3.2452798446495,3.3570227841868
118,30,3.2486392596745,3.3618991156907
106.5,30.25,3.255756049104,3.3921546682589
106.75,30.25,3.2486971508216,3.3830796148182
107,30.25,3.2609162638134,3.3930296682741
107.25,30.25,3.2607357518804,3.3897761959729
107.5,30.25,3.2821528696571,3.4092257394983
107.75,30.25,3.3054957198012,3.4318787124777
108,30.25,3.3107804314213,3.4366486320151
108.25,30.25,3.2768885982874,3.4012163939974
108.5,30.25,3.2697415805101,3.3928349220175
108.75,30.25,3.2557783001666,3.3788899847919
109,30.25,3.2692890087538,3.3930979663539
114.25,30.25,3.2382149381622,3.3398921456463
114.5,30.25,3.2365238217113,3.3383563658106
114.75,30.25,3.2357294437479,3.3378181582082
115,30.25,3.2361481238079,3.3388039539003
115.25,30.25,3.2336076033245,3.3368551274806
115.5,30.25,3.2430288266924,3.3474546214418
115.75,30.25,3.2552009671702,3.3606628472894
116,30.25,3.2587427940065,3.3649693043018
116.25,30.25,3.2657474753903,3.3727764955633
116.5,30.25,3.2589977484004,3.3661512202394
116.75,30.25,3.2561498786777,3.3634113303898
117,30.25,3.256584579631,3.3648475354301
117.25,30.25,3.2432043875266,3.3524992612541
117.5,30.25,3.2318821503448,3.3423260585081
117.75,30.25,3.2357591647762,3.3484176312746
118,30.25,3.2365175342232,3.3491547414291
118.25,30.25,3.2565646378012,3.3707599114765
106.5,30.5,3.2574603103734,3.3893408050116
106.75,30.5,3.2600828973324,3.3913067604343
107,30.5,3.2535739204258,3.3816332625687
107.25,30.5,3.2739046837171,3.398898819429
107.5,30.5,3.2702428788768,3.3918965705133
107.75,30.5,3.2804733167748,3.4011526179955
108,30.5,3.2936055610581,3.4149455757183
108.25,30.5,3.3180737974235,3.4405468962293
108.5,30.5,3.3110346120452,3.4334034261187
108.75,30.5,3.2671552954357,3.388142894805
109,30.5,3.2469749210347,3.367489040618
114.25,30.5,3.2361890987676,3.3366518981032
114.5,30.5,3.2310901702917,3.331599340122
114.75,30.5,3.2303219873709,3.3314507974664
115,30.5,3.231940373497,3.3342987536648
115.25,30.5,3.2362664491953,3.3394811373451
115.5,30.5,3.2416407803877,3.3456037005319
115.75,30.5,3.2622950113458,3.3674992239239
116,30.5,3.2704899092734,3.3764618532159
116.25,30.5,3.269086853592,3.3753797308319
116.5,30.5,3.2608792752345,3.3670576362468
116.75,30.5,3.2493736220142,3.3552167264571
117,30.5,3.2447972714973,3.3509842689402
117.25,30.5,3.2455412270687,3.3537527254879
117.5,30.5,3.2437765081869,3.3539727775544
117.75,30.5,3.2479946787034,3.3601433196844
118,30.5,3.2345576576521,3.3469799500551
118.25,30.5,3.2491412897214,3.3620338169684
119.5,30.5,3.2494312255359,3.363704952857
106.75,30.75,3.268579604889,3.3955511637677
107,30.75,3.2733297776571,3.3982854310571
107.25,30.75,3.2774228988162,3.3994254776831
107.5,30.75,3.2761184106559,3.3951156248633
107.75,30.75,3.2740053777302,3.3921939904295
108,30.75,3.2755587681655,3.3944375219458
108.25,30.75,3.279647919575,3.3992834539199
108.5,30.75,3.2992327471036,3.4198472558711
108.75,30.75,3.2951870094139,3.416197349019
109,30.75,3.2883185154972,3.409350704722
114.25,30.75,3.2312470287436,3.33085446454
114.5,30.75,3.2299804479561,3.330059094864
114.75,30.75,3.2370266898907,3.33986518297
115,30.75,3.2258144222621,3.3285472210322
115.25,30.75,3.2389618649416,3.3427041477438
115.5,30.75,3.2576020887925,3.3628249931059
115.75,30.75,3.2802563225046,3.3867127004105
116,30.75,3.2669828782605,3.3733593672879
116.25,30.75,3.263819191075,3.3705489049074
116.5,30.75,3.2531726667489,3.3598180341298
116.75,30.75,3.2535047471925,3.3603012448493
117,30.75,3.2433009934768,3.3502305017133
117.25,30.75,3.2425556464554,3.3516085290902
117.5,30.75,3.2483439935698,3.3598028067911
117.75,30.75,3.2475706197505,3.3608610200224
118,30.75,3.2520536309176,3.3655721472278
118.25,30.75,3.2500020023204,3.362992762161
118.5,30.75,3.2503569740245,3.363218077295
118.75,30.75,3.2496607673601,3.3618152418137
119,30.75,3.2443000814398,3.3565556258738
119.25,30.75,3.2445468782682,3.3572592904202
119.5,30.75,3.2373533108312,3.3503242548254
119.75,30.75,3.2479123047409,3.3618150886914
120,30.75,3.2494409682922,3.36373974498
120.25,30.75,3.2479938908255,3.3636422499043
106.75,31,3.2750928097487,3.3968127740246
107,31,3.2727915668376,3.3931434836791
107.25,31,3.2789712105503,3.397870114265
107.5,31,3.2691235164827,3.386369682594
107.75,31,3.2759847656482,3.3933583501556
108,31,3.2633370574022,3.3808551380505
108.25,31,3.2891298270723,3.4081575350563
108.5,31,3.2767275022081,3.3955079154173
108.75,31,3.2835404203759,3.4032721413473
109,31,3.2824870019905,3.4024546083222
109.25,31,3.2828581163934,3.4030953034233
114,31,3.2323158064494,3.3321886616307
114.25,31,3.2299637338012,3.3300074203257
114.5,31,3.2382561357752,3.3398356628641
114.75,31,3.2423496580437,3.3453787443838
115,31,3.2375730524376,3.3406782070217
115.25,31,3.2351449623503,3.3388170248846
115.5,31,3.2444521675492,3.3491758269275
115.75,31,3.282624378754,3.3892380538802
116,31,3.2615166355759,3.368454179199
116.25,31,3.2462381347676,3.3533726024904
116.5,31,3.2298761097516,3.3371761956084
116.75,31,3.2506375219017,3.3591025504384
117,31,3.2491969952863,3.3583639347468
117.25,31,3.2465161147691,3.3570257592195
117.5,31,3.2367072451933,3.3485382964265
117.75,31,3.2488045043281,3.3620959303832
118,31,3.2509430167862,3.3643934392842
118.25,31,3.2475918210886,3.3600661603549
118.5,31,3.2460870844672,3.3582135848491
118.75,31,3.2457496983019,3.3574447029789
119,31,3.249297231002,3.3615105829901
119.25,31,3.2456409989113,3.3578770035037
119.5,31,3.2459739562846,3.3587025240161
119.75,31,3.2386667597126,3.3514809049871
120,31,3.2438520910731,3.3570647175289
120.25,31,3.2459934020364,3.3602103350008
120.5,31,3.2493123654878,3.3649696875586
120.75,31,3.253495784025,3.3704945380423
121,31,3.256314206782,3.3740247487325
106.75,31.25,3.2622277450945,3.3781877722251
